Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
Ford,Fiesta,1,Petrol,2002,127300,48963
Porsche,718 Cayman,4,Petrol,2016,57850,49704
Ford,Mondeo,1.6,Diesel,2014,39190,24072
Toyota,RAV4,1.8,Hybrid,1988,210814,1705
VW,Polo,1,Petrol,2006,127869,4101
Ford,Focus,1.4,Petrol,2018,33603,29204
Ford,Mondeo,1.8,Diesel,2010,86686,14350
Toyota,Prius,1.4,Hybrid,2015,30663,30297
VW,Polo,1.2,Petrol,2012,73470,9977
Ford,Focus,2,Diesel,1992,262514,1049
VW,Golf,2,Diesel,2014,83047,17173
BMW,Z4,2,Petrol,1990,293666,719
VW,Golf,1.2,Diesel,2007,92697,7792
Toyota,RAV4,2.2,Petrol,2007,79393,16026
Toyota,Yaris,1.4,Petrol,1998,97286,4046
VW,Golf,1.6,Diesel,1989,222390,933
Toyota,RAV4,2.4,Hybrid,2003,117425,11667
Toyota,Yaris,1.2,Petrol,1992,245990,720
Toyota,RAV4,2,Hybrid,2018,28381,52671
VW,Polo,1.2,Petrol,1998,155038,2118

