year,type,discipline,event,as,athlete_id,noc,team,place,tied,medal
1912.0,Summer,Tennis,"Singles, Men (Olympic)",Jean-François Blanchy,1,FRA,,17.0,True,
1912.0,Summer,Tennis,"Doubles, Men (Olympic)",Jean-François Blanchy,1,FRA,Jean Montariol,,False,
1900.0,Summer,Tennis,"Singles, Handicap, Men (Olympic (non-medal))",Guy de la Chapelle,10,FRA,,5.0,True,
1900.0,Summer,Tennis,"Doubles, Handicap, Men (Olympic (non-medal))",Max Decugis,12,FRA,Spalding de Garmendia,1.0,False,
1980.0,Summer,Archery,"Individual, Men (Olympic)",Tserendorjiin Dagvadorj,2014,MGL,,23.0,False,
1992.0,Summer,Archery,"Team, Women (Olympic)",Liudmyla Arzhannikova,2019,EUN,Unified Team,3.0,False,Bronze
1992.0,Summer,Archery,"Team, Women (Olympic)",Christel Verstegen,2024,NED,Netherlands,12.0,False,
1924.0,Summer,Artistic Gymnastics (Gymnastics),"Side Horse, Men (Olympic)",Stane Žilič,31526,YUG,,34.0,True,
1996.0,Summer,Handball,"Handball, Men (Olympic)",Salim Abes,31527,ALG,Algeria,10.0,False,
1984.0,Summer,Modern Pentathlon,"Team, Men (Olympic)",Mike Storm,35169,USA,United States,2.0,False,Silver
1988.0,Summer,Fencing,"Épée, Individual, Men (Olympic)",Rob Stull,35170,USA,,47.0,False,
1952.0,Summer,Modern Pentathlon,"Team, Men (Olympic)",Guy Troy,35172,USA,United States,4.0,False,
1936.0,Summer,Fencing,"Individual, Men (Olympic)",Frederick Weber,35173,USA,,9.0,False,
1996.0,Summer,Rowing,"Single Sculls, Women (Olympic)",Samia Hireche,35174,ALG,,17.0,False,
1996.0,Summer,Rowing,"Single Sculls, Women (Olympic)",Ana Urbano,35179,ARG,,16.0,False,
1968.0,Summer,Rowing,"Coxed Fours, Men (Olympic)",Hugo Aberastegui,35180,ARG,Argentina,8.0,False,
1984.0,Summer,Shooting,"Skeet, Open (Olympic)",Petros Kyritsis,41719,CYP,,13.0,True,
1972.0,Summer,Swimming (Aquatics),"4 × 100 metres Medley Relay, Women (Olympic)",Leanne Francis,45043,AUS,Australia,,False,
1984.0,Summer,Swimming (Aquatics),"200 metres Butterfly, Men (Olympic)",Harri Garmendia,46534,ESP,,15.0,False,
1984.0,Summer,Swimming (Aquatics),"200 metres Individual Medley, Men (Olympic)",Harri Garmendia,46534,ESP,,19.0,False,
1988.0,Summer,Diving (Aquatics),"Springboard, Men (Olympic)",José Miguel Gil,46535,ESP,,25.0,False,
1924.0,Summer,Weightlifting,"Lightweight, Men (Olympic)",Leopold Treffny,55222,AUT,,4.0,False,
1936.0,Summer,Weightlifting,"Lightweight, Men (Olympic)",Rudolf Troppert,55223,AUT,,9.0,False,
1936.0,Summer,Weightlifting,"Middleweight, Men (Olympic)",Hans Valla,55224,AUT,,6.0,False,
1948.0,Summer,Weightlifting,"Bantamweight, Men (Olympic)",Josef Vojtech,55225,AUT,,17.0,False,
